ukbb20003;n
adalat 5mg capsule;1264
calcilat 10mg capsule;2
angiopine 5mg capsule;0
nifensar xl 20mg m/r tablet;0
coracten sr 10mg m/r capsule;472
tildiem 60mg m/r tablet;1085
britiazim 60mg m/r tablet;0
angiozem 60mg m/r tablet;1
adizem-60 m/r tablet;536
dilzem sr 60mg long acting m/r capsule;229
cardene 20mg capsule;10
isradipine;5
prescal 2.5mg tablet;0
istin 5mg tablet;182
flosequinan;2
manoplax 50mg tablet;0
lacidipine;605
motens 2mg tablet;40
bradilan 250mg e/c tablet;0
hexopal 500mg tablet;7
ronicol 25mg tablet;0
oxpentifylline;0
trental 400mg m/r tablet;6
thymoxamine;7
opilon 40mg tablet;5
paroven 250mg capsule;24
oxerutins 250mg capsule;22
hydergine 1.5mg tablet;0
praxilene 100mg capsule;15
saventrine 30mg tablet;1
corwin 200mg tablet;0
calciparine 5000iu/0.2ml prefilled syringe;0
minihep calcium 5000iu/0.2ml injection;2
uniparin-ca 5000iu/0.2ml prefilled syringe;0
monoparin-ca 5000iu/0.2ml injection;0
fragmin 10,000iu/1ml injection;14
enoxaparin;18
clexane 20mg/0.2ml prefilled syringe;37
innohep 5000iu/0.5ml injection amp;3
logiparin 2500iu/0.21ml prefilled syringe;0
nicoumalone;2
sinthrome 1mg tablet;28
phenindione;17
dindevan 10mg tablet;1
ethamsylate;1
antiplatelet drug;2
dipyridamole;973
persantin 25mg tablet;304
cerebrovase 25mg tablet;0
platet 100mg effervescent tablet;1
angettes 75mg tablet;3
aspirin 75mg tablet;3697
disprin cv 100mg m/r tablet;11
tranexamic acid;698
cyklokapron 500mg tablet;15
colestid 5g/sachet granules;13
gemfibrozil;23
lopid 300 capsule;5
nicofuranose;0
nicotinic acid product;37
probucol;0
lurselle 250mg tablet;0
maxepa 1g capsule;71
acipimox;11
olbetam 250mg capsule;1
lipid lowering drug;31
bezafibrate;548
bezalip 200mg tablet;51
bezalip-mono 400mg m/r tablet;93
questran 4g/sachet powder;159
cholestyramine+aspartame 4g/sachet powder;2
clofibrate;2
atromid-s 500mg capsule;0
fenofibrate;802
simvastatin;65618
lipostat 10mg tablet;33
salbulin 100micrograms inhaler;100
ventolin 100micrograms inhaler;16072
steri-neb salamol 2.5mg/2.5ml nebulisation unit;16
ventodisks 200micrograms/blister disks+diskhaler;92
ciprofibrate;98
modalim 100mg tablet;24
ventolin 2mg tablet;227
volmax 4mg m/r tablet;9
ventolin cr 4mg m/r tablet;38
salamol 100micrograms inhaler;1692
maxivent 100micrograms inhaler;0
berotec 100 inhaler;2
pirbuterol;0
exirel 10mg capsule;0
exirel 200micrograms inhaler;1
bronchodil 500micrograms inhaler;2
pulmadil 200micrograms inhaler;28
salmeterol;1339
serevent 25mcg inhaler;1385
bricanyl 5mg tablet;43
bricanyl 250mcg inhaler;1232
brelomax 2mg tablet;0
respacal 2mg tablet;0
atrovent 20micrograms inhaler;530
aminophylline;106
phyllocontin continus 225mg m/r tablet;189
pecram 225mg m/r tablet;0
bambec 10mg tablet;0
adrenaline product;55
medihaler-epi 280micrograms inhaler;0
adrenaline acid tartrate 280micrograms inhaler;1
cam 4mg/5ml s/f mixture;0
medihaler-iso 80micrograms inhaler;0
alupent 20mg tablet;1
amnivent 225 sr m/r tablet;0
choline theophyllinate;0
choledyl 100mg tablet;0
duovent inhaler;8
franol tablet;1
ephedrine hydrochloride+theophylline 11mg/120mg tablet;2
becloforte 250micrograms inhaler;289
becotide 50 inhaler;3306
filair 50 inhaler;4
theophylline product;65
nuelin 125mg tablet;30
lasma 300mg m/r tablet;0
slo-phyllin 60mg m/r capsule;34
theo-dur 200mg m/r tablet;0
uniphyllin continus 200mg m/r tablet;257
aerobec 50mcg autohaler;30
beclazone 50 inhaler;1447
sodium cromoglycate;143
intal 5mg inhaler;30
ventide inhaler;99
budesonide;1178
pulmicort ls 50micrograms inhaler;826
pulmicort ls 50micrograms spacer inhaler;77
cromogen 5mg inhaler;0
aerocrom inhaler;2
dimotane 4mg tablet;0
chlorpheniramine maleate;33
piriton 4mg tablet;808
piriton 10mg/1ml injection;27
clemastine;13
tavegil 1mg tablet;8
periactin 4mg tablet;5
fenostil retard 2.5mg m/r tablet;2
ketotifen;21
zaditen 1mg tablet;6
tilade mint 2mg inhaler;12
astemizole;3
hismanal 10mg tablet;1
optimine 1mg tablet;1
nytol 25mg tablet;86
mebhydrolin;1
fabahistin 50mg tablet;0
mequitazine;1
primalan 5mg tablet;6
oxatomide;0
vallergan 10mg tablet;27
pro-actidil 10mg m/r tablet;0
acrivastine;123
semprex 8mg capsule;2
zirtek 10mg tablet;139
loratadine;4210
clarityn 10mg tablet;444
tinset 30mg tablet;0
thephorin 25mg tablet;0
daneral sa 75mg m/r tablet;0
phenergan 10mg tablet;109
terfenadine;13
triludan 60mg tablet;4
menthol 35.55mg inhalant capsule;3
galcodine 15mg/5ml s/f linctus;0
galcodine 3mg/5ml paediatric s/f linctus;0
pholcodine;24
galenphol 5mg/5ml s/f linctus;0
ammonia+ipecacuanha mixture;0
ipecacuanha+morphine mixture;1
simple linctus;6
squill opiate linctus;0
acetylcysteine;37
fabrol 200mg/sachet granules;0
carbocisteine;386
mucodyne 375mg capsule;181
visclair 100mg tablet;9
benzoin compound 4.5% tincture;0
menthol+benzoin inhalation;1
menthol+eucalyptus inhalation;2
actifed compound linctus;2
benylin with codeine syrup;1
copholco linctus;0
dimotane expectorant elixir;0
dimotane co s/f elixir;0
sudafed 30mg/5ml elixir;4
sudafed co tablet;34
triogesic tablet;0
triominic tablet;0
chloral hydrate product;2
noctec 500mg capsule;0
welldorm tablet;3
chlormethiazole;1
heminevrin 192mg capsule;2
expulin s/f linctus;0
guanor expectorant syrup;0
histalix expectorant syrup;0
phensedyl linctus;0
sudafed expectorant syrup;3
tancolin paediatric linctus;0
terpoin elixir;0
actifed tablet;13
dimotane plus elixir;0
dimotapp elixir;0
eskornade spansule;0
expulin decongestant paediatric linctus;0
galpseud 60mg tablet;3
galpseud 30mg/5ml linctus;1
haymine m/r tablet;8
sudafed 60mg tablet;93
flunitrazepam;1
rohypnol 1mg tablet;1
flurazepam;2
dalmane 15mg capsule;6
loprazolam;62
euhypnos 10mg/5ml oral solution;0
triclofos sodium;0
zopiclone;1914
diazepam;1476
rimapam 2mg tablet;0
diazemuls 10mg/2ml injection;0
dialar 2mg/5ml syrup;0
lormetazepam;49
nitrazepam;313
mogadon 5mg tablet;1
remnos 5mg tablet;0
temazepam;1067
normison 10mg capsule;1
stesolid 5mg rectal solution;0
tensium 2mg tablet;0
valium 2mg tablet;61
valium 2mg/5ml syrup;0
tropium 5mg tablet;4
chlormezanone;0
trancopal 200mg tablet;0
clobazam;89
frisium 10mg capsule;18
potassium clorazepate;0
tranxene 7.5mg capsule;2
atarax 10mg tablet;69
ucerax 25mg tablet;43
lorazepam;186
alprazolam;11
xanax 250mcg tablet;9
bromazepam;5
lexotan 1.5mg tablet;3
chlordiazepoxide;53
librium 5mg tablet;9
ativan 1mg tablet;3
medazepam;3
nobrium 5mg capsule;0
meprobamate;3
amylobarb sodium+quinalbarb sodium 50mg/50mg capsule;0
chloractil 25mg tablet;1
largactil 10mg tablet;16
equanil 200mg tablet;0
meprate 400mg tablet;8
oxazepam;64
buspar 5mg tablet;12
seconal sodium 50mg capsule;0
soneryl 100mg tablet;0
tuinal 100mg capsule;0
timecef 2g injection;0
laboprin dl 900mg sachet;0
importal 10g sachet;0
paramol tablet;37
hrf-ayerst 100micrograms injection;0
ladropen 250mg injection;0
ladropen 500mg injection (pdr for recon);0
lithofalk tablet;0
cartrol 10mg tablet;0
rauwolfia alkaloids 2mg tablet;1
kapake tablet;129
actonorm gel;0
nicoumalone 4mg tablet;0
norplant 38mg subdermal implant;15
monozide 10 tablet;2
pr-heat spray aerosol;0
distaclor mr 500mg m/r tablet;0
dovonex 50micrograms/g cream;277
climagest 1mg tablet;281
chlorthalidone tablet+potassium m/r tablet 25mg/6.7mmol pack;0
danaparoid sodium;1
orgaran 750iu/0.6ml injection;0
provera 2.5mg tablet;65
occlusal 26% topical solution;2
valclair 10mg suppository;0
zovirax chickenpox 400mg/5ml suspension;0
britaject 20mg/2ml injection;0
metrodin high purity 75iu injection (pdr for recon)+solvent;0
flixotide 25micrograms inhaler;894
audax ear drops;0
glaucol 0.25% single-use eye drops;3
cocois scalp ointment;37
elyzol 25% dental gel;0
klaricid iv 500mg injection (pdr for recon);0
aknemin 50mg capsule;2
aknemin 100mg capsule;3
fleet enema;3
antipressan 25mg tablet;0
timpron 250mg tablet;0
famciclovir;10
famvir 250mg tablet;1
normegon 75iu injection+solvent;0
kytril 1mg tablet;0
epimaz 100mg tablet;1
xatral 2.5mg tablet;184
omnopon 15.4mg/1ml injection;0
rifabutin;1
mycobutin 150mg capsule;0
testotop tts 15mg transdermal patch;1
monuril 3g/sachet granules for suspension;0
df118 forte 40mg tablet;3
aridil 2.5mg/20mg tablet;0
capsaicin 0.075% cream;43
introna 10million iu/2ml injection solution;0
introna 25million iu/5ml injection solution;1
cabergoline;131
dostinex 500micrograms tablet;12
pulmozyme 2500units(2.5mg) nebuliser solution;2
spiro-co 25mg tablet;1
monuril paediatric 2g/sachet granules for suspension;0
lescol 20mg capsule;20
zestoretic 10 tablet;109
mst continus 200mg/sachet granules for suspension;0
ciloxan 0.3% eye drops;5
vividrin 2% nasal spray;2
vividrin 2% eye drops;3
combivent inhaler;218
tinaderm cream;0
tinaderm plus powder;0
tinaderm plus spray;0
histafen 60mg tablet;1
lansoprazole;22155
tropergen tablet;1
loperagen 2mg capsule;3
cutivate 0.05% cream;21
nu-seals aspirin 75mg e/c tablet;7
amphocil 50mg i-v infusion (pdr for recon);0
amphocil 100mg intravenous infusion;0
terfinax 60mg tablet;0
torem 2.5mg tablet;2
angitate 10mg tablet;0
carace 10 plus tablet;13
fortum 3g injection (pdr for recon);0
stilnoct 5mg tablet;35
orgafol 75iu injection (pdr for recon)+diluent;1
bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet;419
lisinopril+hydrochlorothiazide 10mg/12.5mg tablet;191
subcutaneous heparin;4
fenoterol+ipratropium 100micrograms/40micrograms inhaler;8
salbutamol+ipratropium 100micrograms/20micrograms inhaler;150
tramadol;6008
zydol 100mg/2ml injection;3
zydol 50mg capsule;136
viscotears liquid eye gel;1310
zolpidem;345
dornase alfa;2
cheracol elixir;0
yohimbine/pemoline/methyltestosterone;1
dried yeast 300mg tablet;76
aluminium hydroxide product;2
alu-cap capsule;5
topical anti-inflammatory prep[1];7
sodium chloride 0.9% nose drops;3
dermacare cream 200ml;1
sodium chloride 0.9% topical solution;4
gastron tablet;3
cantil 25mg tablet;0
piptal 5mg tablet;0
piptalin suspension;0
nacton 2mg tablet;0
pro-banthine 15mg tablet;26
spasmonal 60mg capsule;335
alverine citrate+sterculia 0.5%/62% granules;98
fomac 135mg tablet;0
fybogel mebeverine sachet;794
gaviscon liquid;3067
maalox tablet;19
maalox plus suspension;41
mucogel suspension;16
topal tablet;10
ambutonium bromide;1
dicyclomine hydrochloride;14
kolanticon gel;38
merbentyl 10mg tablet;151
hyoscine butylbromide;165
buscopan 10mg tablet;576
mebeverine hcl+ispaghula 135mg/3.5g/sachet granules;61
peppermint oil product;266
colpermin 0.2ml m/r gel e/c capsule;454
mintec 0.2ml e/c capsule;83
cimetidine;409
gastrozepin 50mg tablet;0
bismuth chelate;0
de-noltab 120mg tablet;0
tripotassium dicitratobismuthate 120mg tablet;1
dyspamet chewtab 200mg chewable tablet;0
galenamet 200mg tablet;0
peptimax 200 tablet;4
phimetin 200mg tablet;0
zita 200mg tablet;0
ultec 200mg tablet;0
sucralfate;38
antepsin 1g tablet;21
pyrogastrone tablet;1
liquorice;5
caved-s tablet;0
imodium 2mg capsule;264
cholestyramine;36
mesalazine;803
asacol 400mg e/c tablet;798
pentasa sr 250mg m/r tablet;358
salofalk 250mg e/c tablet;26
famotidine;65
nizatidine;106
axid 150mg capsule;2
misoprostol;39
cytotec 200mcg tablet;8
omeprazole;37953
kln mixture;0
diarrest liquid;0
kaodene mixture;0
codeine phosphate+kaolin 10mg/3g/10ml mixture;186
diphenoxylate;0
lomotil tablet;76
nalcrom 100mg capsule;2
sulphasalazine;301
salazopyrin 500mg tablet;316
dulco-lax 5mg e/c tablet;94
cascara;2
danthron;0
normax capsule;4
senna;1089
sodium picosulphate;17
picolax 10mg/sachet oral powder;10
liquid paraffin;34
dipentum 250mg capsule;12
bran;5
proctofibe tablet;0
wheat fibre 80% powder;17
ispaghula husk;508
isogel granules;4
metamucil powder;2
regulan 3.6g/sachet powder;105
methylcellulose;40
celevac 500mg tablet;11
sterculia;21
sterculia+frangula 62%/8% granules;10
bisacodyl;248
petrolagar emulsion;0
lactulose product;1468
duphalac solution;1
laxose solution;7
lactugal solution;34
regulose solution;1
anusol cream;138
anacal rectal ointment;4
predenema 20mg/100ml standard tube retention enema;4
predsol 5mg suppository;6
predfoam 20mg enema;57
klean-prep oral powder;0
magnesium citrate;195
citramag 17.7g/sachet powder;1
lactitol;2
dulco-lax 5mg paediatric suppository;2
fletchers' arachis oil retention enema;0
veripaque 50mg in 3g enema;0
carbalax 1.72g suppository;0
arachis oil retention enema;0
magnesium sulphate 50% retention enema;1
perinal spray;3
chenodeoxycholic acid product;0
chendol 125mg capsule;0
nutrizym 10 e/c granules in capsule;8
panzytrat-25000 e/c granules in capsule;0
pancreatin with high lipase capsule;0
digoxin product;20
lanoxin-pg 62.5micrograms tablet;2
digitoxin;28
chenofalk 250mg capsule;0
ursodeoxycholic acid product;27
destolit 150mg tablet;6
ursofalk 250mg capsule;46
rowachol capsule;1
chenodeoxycholic+ursodeoxycholic acid;1
combidol tablet;0
muripsin 500mg tablet;0
pancreatin;16
creon e/c granules in capsule;301
pancrease e/c granules in capsule;1
pancrex v powder;4
digitaline nativelle 100micrograms tablet;0
lanatoside c;0
cedilanid 250micrograms tablet;0
medigoxin;4
lanitop 100micrograms tablet;0
hydroflumethiazide;4
hydrenox 50mg tablet;0
indapamide;2326
mefruside;0
baycaron 25mg tablet;0
methyclothiazide;1
metolazone;16
metenix-5 tablet;1
xuret 500micrograms tablet;0
polythiazide;0
nephril 1mg tablet;0
xipamide;13
diurexan 20mg tablet;2
frusemide;953
bendrofluazide;3329
aprinox 2.5mg tablet;0
berkozide 2.5mg tablet;0
neo-naclex 5mg tablet;6
chlorothiazide;0
saluric 500mg tablet;0
chlorthalidone;4
hygroton 50mg tablet;12
cyclopenthiazide;12
navidrex 500mcg tablet;3
hydrochlorothiazide;58
esidrex 25mg tablet;0
hydrosaluric 25mg tablet;0
dryptal 40mg tablet;0
froop 40mg tablet;0
frusid 40mg tablet;2
ethacrynic acid;0
edecrin 50mg tablet;0
ethacrynic acid 50mg tablet;0
piretanide;0
arelix 6mg capsule;0
midamor 5mg tablet;0
amilospare 5mg tablet;0
berkamil 5mg tablet;1
potassium canrenoate;0
spiroctan-m 200mg/10ml injection;1
spironolactone;1112
aldactone 25mg tablet;5
lasix 20mg tablet;9
rusyde 20mg tablet;0
bumetanide;452
burinex 1mg tablet;8
spirospare 25mg tablet;0
spiretic 25mg tablet;0
spiroctan 25mg tablet;1
spirolone 25mg tablet;19
triamterene+benzthiazide 50mg/25mg capsule;0
triam-co tablet;1
triamterene+chlorthalidone 50mg/50mg tablet;0
triamterene+frusemide 50mg/40mg tablet;2
lasoride tablet;0
delvas tablet;0
navispare tablet;30
amilmaxco 5/50 tablet;0
burinex a tablet;15
triamaxco tablet;0
triamterene;4
dytac 50mg capsule;0
aldactide 25 tablet;8
amil-co tablet;1
dyazide tablet;60
dytide capsule;1
frumil tablet;87
frusene tablet;6
kalspare tablet;1
lasilactone capsule;7
moduret 25 tablet;15
fru-co tablet;1
moduretic tablet;50
amiloride hcl+cyclopenthiazide 2.5mg/250micrograms tablet;7
amiloride hydrochloride+bumetanide 5mg/1mg tablet;7
burinex k m/r tablet;4
centyl k m/r tablet;0
diumide-k continus m/r tablet;1
lasikal m/r tablet;0
neo-naclex k m/r tablet;6
bumetanide+potassium 500micrograms/7.7mmol m/r tablet;1
bendrofluazide+potassium 2.5mg/7.7mmol m/r tablet;68
half securon sr 120mg m/r tablet;70
securon 40mg tablet;136
geangin 40mg tablet;0
frusemide+potassium 20mg/10mmol m/r tablet;2
cordarone x 100mg tablet;3
berkatens 40mg tablet;0
cordilox 40mg tablet;1
disopyramide;33
dirythmin sa 150mg durule;0
rythmodan 100mg capsule;7
pronestyl 250mg tablet;0
kinidin 250mg durule;0
tonocard 400mg tablet;0
arythmol 150mg tablet;15
ethmozine 200mg tablet;0
isomide 100mg capsule;0
tambocor 50mg tablet;25
mexitil 50mg capsule;5
beta-adrenoceptor blocking drug;2
angilol 10mg tablet;1
cardinol 10mg tablet;3
acebutolol;19
sectral 100mg capsule;7
atenolol;20812
tenormin 25 tablet;72
vasaten 50mg tablet;8
apsolol 10mg tablet;1
propanix 10mg tablet;1
betadur cr 160mg m/r capsule;0
beta-prograne 160mg m/r capsule;9
berkolol 10mg tablet;0
half-betadur cr 80mg m/r capsule;0
half-inderal la 80mg m/r capsule;183
half beta-prograne 80mg m/r capsule;23
inderal 10mg tablet;131
benperidol;7
anquil 250micrograms tablet;0
droperidol;0
droleptan 10mg tablet;0
serenace 500micrograms capsule;13
methotrimeprazine;3
nozinan 25mg tablet;0
pericyazine;6
neulactil 2.5mg tablet;2
flupenthixol;26
depixol 3mg tablet;64
moditen 1mg tablet;1
haloperidol;76
dozic 1mg/ml oral liquid;1
haldol 5mg tablet;12
perphenazine;8
fentazin 2mg tablet;6
pimozide;4
rideril 25mg tablet;0
stelazine 1mg tablet;66
orap 2mg tablet;0
sparine 50mg/5ml suspension;0
sulpiride;76
dolmatil 200mg tablet;5
melleril 10mg tablet;0
trifluperidol;1
triperidol 500micrograms tablet;0
clopixol 2mg tablet;17
fluphenazine decanoate;5
loxapine;2
loxapac 10mg capsule;0
clozapine;45
roxiam 150mg m/r capsule;0
risperidone;284
modecate 12.5mg/0.5ml oily injection;34
decazate 25mg/1ml oily injection;1
lithium product;531
camcolit 250 tablet;27
liskonum 450mg m/r tablet;1
phasal 300mg m/r tablet;0
priadel 200mg m/r tablet;342
litarex 564mg m/r tablet;0
li-liquid 5.4mmol/5ml oral solution;0
fluspirilene;1
redeptin 2mg/1ml injection;0
piportil depot 50mg/1ml oily injection;12
domical 10mg tablet;1
pertofran 25mg tablet;0
prothiaden 25mg capsule;91
prepadine 25mg capsule;1
dothapax 25mg capsule;0
doxepin;39
elavil 10mg tablet;0
lentizol 25mg m/r capsule;0
tryptizol 10mg tablet;2
anafranil 10mg capsule;47
tofranil 10mg tablet;1
iprindole;2
prondol 15mg tablet;0
lofepramine;408
concordin 5mg tablet;1
trimipramine;81
surmontil 10mg tablet;25
vivalan 50mg tablet;0
amoxapine;5
ludiomil 10mg tablet;1
bolvidon 10mg tablet;0
norval 10mg tablet;1
nortriptyline;387
allegron 10mg tablet;10
aventyl 10mg capsule;0
asendis 25mg tablet;0
phenelzine;32
nardil 15mg tablet;6
isocarboxazid;3
marplan 10mg tablet;0
faverin 50mg tablet;3
prozac 20mg capsule;701
sertraline;3105
lustral 50mg tablet;72
paroxetine;1796
pemoline;1
volital 20mg tablet;0
prolintane hydrochloride+vitamins b+c 2.5mg/5ml liquid;0
dexedrine 5mg tablet;12
tranylcypromine;16
parnate 10mg tablet;2
moclobemide;36
manerix 150mg tablet;2
limbitrol-5 capsule;1
motival tablet;3
parstelin tablet;0
triptafen tablet;27
amitriptyline+chlordiazepoxide 12.5mg/5mg capsule;2
fluphenazine hydrochloride+nortriptyline 1.5mg/30mg tablet;2
fluphenazine hcl+nortriptyline 500micrograms/10mg tablet;0
tranylcypromine+trifluoperazine 10mg/1mg tablet;2
amitriptyline hydrochloride+perphenazine 10mg/2mg tablet;131
fluanxol 500micrograms tablet;33
tryptophan product;21
apisate m/r tablet;0
tenuate dospan 75mg m/r tablet;0
ponderax 60mg m/r capsule;0
mazindol;0
dramamine 50mg tablet;1
motilium 10mg tablet;160
scopoderm tts transdermal patch;2
